trans_id,patron_id,call_no,loan_fee,loan_fee_paid,date_checked_out,date_returned
2001,117,100,5,no,2021-04-26,2021-05-31
2002,140,200,5,no,2022-04-25,2022-06-26
2003,126,300,5,no,2021-01-10,2021-01-15
2004,138,400,5,no,2021-05-10,2021-05-15
2005,132,500,5,no,2021-08-12,2021-08-21
2006,140,600,5,no,2021-03-30,2021-03-30
2007,106,700,5,yes,2021-11-20,2021-11-30
2008,105,800,5,yes,2021-07-06,2021-07-10
2009,135,900,5,yes,2021-10-15,2021-10-25
2010,131,1000,10,yes,2022-05-20,2022-05-30
2011,135,1100,10,yes,2021-05-06,2021-05-20
2012,136,1200,10,yes,2022-07-21,2022-07-30
2013,125,1300,10,yes,2021-05-21,2022-05-30
2014,122,1400,10,no,2021-05-10,2021-05-15
2015,114,1500,10,no,2021-05-13,2021-05-18
2016,123,1600,10,no,2021-07-20,2021-09-23
2017,101,1700,10,no,2022-02-23,2022-02-29
2018,133,1800,10,no,2021-03-21,2021-10-23
2019,121,1900,10,no,2021-06-22,2022-07-05
2020,104,2000,15,no,2021-05-16,2021-05-21
2021,133,100,5,no,2021-08-15,2021-08-20
2022,105,200,5,no,2022-07-05,2022-07-10
2023,132,300,5,no,2021-09-30,2021-10-05
2024,120,400,5,no,2021-05-20,2021-05-28
2025,123,500,5,yes,2021-08-30,2021-09-05
2026,112,600,5,yes,2021-05-10,2021-11-30
2027,125,700,5,yes,2021-12-05,2022-01-20
2028,100,800,5,yes,2021-07-15,2021-07-20
2029,123,900,5,yes,2021-10-30,2021-11-15
2030,138,1000,10,yes,2022-06-12,2022-06-30
2031,120,1100,10,yes,2021-05-26,2021-07-20
2032,121,1200,10,yes,2022-08-22,null
2033,140,1300,10,yes,2021-06-30,2021-07-29
2034,140,1400,10,yes,2021-05-20,2021-05-30
2035,136,1500,10,no,2021-05-25,2021-05-30
2036,133,1600,10,no,2021-10-23,2022-01-05
2037,105,1700,10,no,2022-03-25,2022-04-26
2038,113,1800,10,no,2022-05-15,null
2039,128,1900,10,no,2022-09-06,null
2040,126,2000,15,no,2022-05-10,null
2041,110,100,5,no,2022-09-15,2022-12-15
2042,121,200,5,no,2022-08-03,null
2043,100,300,5,no,2022-01-12,2022-01-20
2044,120,400,5,yes,2021-06-15,2021-06-30
2045,133,500,5,yes,2021-09-30,null
2046,118,600,5,yes,2022-02-20,null
2047,108,700,5,yes,2022-02-16,null
2048,128,800,5,yes,2021-07-25,2021-07-30
2049,110,900,10,yes,2021-12-30,2022-02-20
2050,131,1000,10,yes,2022-08-23,null
